Output Name,Data Type,Description
kleborate_genomic_resistance_mutations,String,Antimicrobial resistance mutations detected in analyzed sample 
kleborate_key_resistance_genes,String,Antimicrobial resistance genes detected in analyzed sample
kleborate_mlst_sequence_type,String,MLST of analyzed sample
kleborate_output_file,File,Tsv file detailing results of kleborate for typing of Klebsiella genomes
kleborate_version,String,Version of kleborate used for typing of samples assigned to the Klebsiella taxon
lissero_results,File,Tsv file detailing results of lissero for serogroup typing prediction of Listeria genomes
lissero_version,String,Version of lissero used for serogroup typing prediction for samples assigned to the Listeria taxon
n50_value,Int,The length of the shortest contig for which longer and equal length contigs cover at least 50 % of the assembly as determined by quast
num_reads_clean1,Int,Number of forward reads after filtering as determined by fastq_scan
num_reads_clean2,Int,Number of reverse reads after filtering as determined by fastq_scan
num_reads_clean_pairs,String,Number of paired reads after filtering as determined by fastq_scan
num_reads_raw1,Int,Number of forward reads identified in the input fastq files as determined by fastq_scan
num_reads_raw2,Int,Number of reverse reads identified in the input fastq files as determined by fastq_scan
num_reads_raw_pairs,String,Number of paired reads identified in the input fastq files as determined by fastq_scan
number_contigs,Int,Number of contigs in the genome assembly
quast_report,File,Quality report for assembled genome from quast
quast_version,String,Version of quast used for quality assessment of assembled genome
r1_mean_q,Float,Mean quality score for read1 file; See https://github.com/lskatz/CG-Pipeline
r2_mean_q,Float,Mean quality score for read2 file; See https://github.com/lskatz/CG-Pipeline
raw_read_screen,String,Indicates whether the analyzed sample's sequencing reads passed raw read screen
seq_platform,String,Method of sequencing (Defaults to Illumina but overridden by the seq_method optional input)
seqsero2_predicted_antigenic_profile,String,Antigenic profile prediction for samples assigned to the Salmonella taxon
seqsero2_predicted_contamination,String,Indicates whether inter-serotype contamination is predicted for samples assigned to the Salmonella taxon
seqsero2_predicted_serotype,String,Serotype prediction for samples assigned to the Salmonella taxon
seqsero2_report,File,Tsv file with report from seqsero2
seqsero2_verison,String,Version of seqsero2 used for Salmonella serotyping
serotypefinder_docker,String,Docker image used for running Serotype Finder for Escherichia coli serotype prediction
serotypefinder_report,File,Report from Serotype Finder; see https://github.com/phac-nml/ecoli_serotyping
serotypefinder_serotype,String,Serotype predicted by Serotype Finder for samples assigned to the Escherichia taxon
shovill_pe_version,String,Version of shovill used for de novo genome assembly
sister_allele_fasta,File,FASTA file of novel cgMLST alleles detected in analyzed sample
sistr_allele_json,File,JSON file of allele sequences and information
sistr_cgmlst,File,CSV file detailing allele designations for each cgMLST locus for analyzed sample 
sistr_predicted_serotype,String,Serotype prediction for samples assigned to the Salmonella taxon
sistr_results,File,Results from serotype prediction by SISTR; see https://github.com/phac-nml/sistr_cmd
sistr_version,String,Version of SISTR used for serotype prediction of samples assigned to the Salmonella taxon
tbprofiler_dr_type,String,"Drug resistance type predicted by TB-Profiler (sensitive, Pre-MDR, MDR, Pre-XDR, XDR)"
tbprofiler_main_lineage,String,Lineage predicted by TB-Profiler
tbprofiler_output_bai,File,Index file generated by mapping sequencing reads to reference genome 
tbprofiler_output_bam,File,Alignment file in BAM format generated by mapping sequencing reads to reference genome 
tbprofiler_output_file,File,TB-Profiler output in csv format
tbprofiler_resistance_genes,String,List of resistance genes detected by TB-Profiler
tbprofiler_sub_lineage,String,Sub-lineage predicted by TB-Profiler
tbprofiler_verison,String,Version of TB-Profiler used to analyze read data from samples assigned to the Mycobacterium taxon https://github.com/jodyphelan/TBProfiler/ https://jodyphelan.gitbook.io/tb-profiler/
theiaprok_illumina_pe_analysis_date,String,Date of analysis
theiaprok_illumina_pe_version,String,Version of PHBG respository used for analysis
trimmomatic_version,String,Version of trimmomatic used for read quality trimming and filtering
ts_mlst_predicted_st,String,MLST predicted 
ts_mlst_pubmlst_scheme,String,MLST scheme used for MLST prediction 
ts_mlst_results,File,Full MLST results detailing allele IDs in Tsv formmat
ts_mlst_version,String,Version of Torsten Seemann's MLST tool used for MLST prediction
